Contrast,ΔAUC,BCa 95% CI,Bootstrap p (two-sided),CI excludes 0
Grade 2: Model 7 vs Model 2,+0.672,+0.348 to +0.905,0.0000,yes
Grade 2: Model 4 vs Model 2,+0.656,+0.293 to +0.902,0.0010,yes
