Model,mean_predicted,observed,n
Model 6 — ROI2,0.08050508845289275,0.07692307692307693,13
Model 6 — ROI2,0.3268988002657901,0.5833333333333334,12
Model 6 — ROI2,0.6483045754398792,0.5833333333333334,12
Model 6 — ROI2,0.8808587346760491,1.0,12
Model 6 — ROI2,0.9594772834355011,0.9230769230769231,13
