Model,mean_predicted,observed,n
Model 5 — ROI1,0.16404739925975761,0.07692307692307693,13
Model 5 — ROI1,0.3420307989251843,0.3333333333333333,12
Model 5 — ROI1,0.6116336503139811,0.75,12
Model 5 — ROI1,0.8265785267903696,1.0,12
Model 5 — ROI1,0.9126928875035655,1.0,13
